jurisdiction,permit_number,application_date,issue_date,expiration_date,status,address,city,state,zip_code,parcel_number,permit_type,permit_subtype,work_description,project_value,square_footage,contractor_name,contractor_company,applicant_name,owner_name,business_name,architect,engineer,source_record_url,source_dataset_url,date_collected
City of Tampa,BDE-26-0445505,2026-04-25,2026-07-10,,Issued,2618 W  Saint John St,Tampa,FL,33607,,Residential Demolition Permit,Residential,FULL DEMOLITION OF EXISTING RESIDENTIAL STRUCTURE.,,0.0,,,,,Res Demo,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00O0L&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BDE-26-0445654,2026-06-24,2026-07-09,,Issued,3120 W  Knights Ave,Tampa,FL,33611,,Residential Demolition Permit,Residential,"Demolition of single-family home to include slab, fence and pavers",,0.0,,,,,Demo SFR,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=01UC2&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BDE-26-0445682,2026-07-08,2026-07-09,,Issued,2908 W  Leila Ave,Tampa,FL,33611,,Residential Demolition Permit,Residential,Demolition of existing home and Pool,,0.0,,,,,DEMO SFR and Pool,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=01X3D&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-26-0520356,2025-11-17,2026-07-10,,Revision,4219 W  Mango Ave,Tampa,FL,33616,,Commercial Building Alterations (Renovations),Business,Renovate and improve the existing interior space to accommodate a new workforce training facility for teens.,,0.0,,,,,Interior Remodel: Boys and Girls Club Of Tampa Bay Liberty Mompierre,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02TP0&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-21-0482767,2021-04-08,2026-07-09,,Revision,1029 E  Hillsborough Ave,Tampa,FL,33604,,Commercial Building Alterations (Renovations),Business,Commercial Building Alterations on the Interior and Exterior.,,0.0,,,,,Change of Use/Occupancy-Int/ext alterations-Solita's House,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=00IDU&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-26-0523496,2026-03-13,2026-07-10,,Revision,400 N  Ashley Dr,Tampa,FL,33602,,Commercial Building Alterations (Renovations),Business,"THRESHOLD BUILDING Design and construction of an office suite to be located on the 15th Floor of the Rivergate Tower office building in Tampa, Florida which includes tenant demising walls, doors, and corridors from the elevator lobby. Office space will be approximately 7,500 square feet.",,0.0,,,,,SEC: FEMA: Suite 1500 Interior remodel,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00FKD&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-26-0523757,2026-03-24,2026-07-10,,Issued,4355 N  Himes Ave,Tampa,FL,33607,,Commercial New Construction and Additions,Business,"Construction of a new typical HTeaO Tea Bar with a cooler/freezer, a single lane drive-thru, and a single bay dumpster enclosure",,1960.0,,,,,New 1 Story Comm - HTeaO Bar,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00HOH&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-25-0514262,2025-01-27,2026-07-09,,Revision,3401 S  West Shore Blvd,Tampa,FL,33629,,Commercial New Construction and Additions,Assembly,"FEMA SFHA: LIMITED PRIVATE PROVIDER - PLAN REVIEW AND INSPECTIONS. New restaurant construction, Westshore Place Restaurant.",,10733.0,,,,,05-26-25 KPI,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=009O4&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-26-0525792,2026-06-11,2026-07-09,,Issued,4132 W  Gandy Blvd,Tampa,FL,33611,,Commercial Building Alterations (Renovations),Storage,"*PRIVATE PROVIDER - PLAN REVIEW AND INSPECTIONS* Interior Buildout of shell space for Weather Tite Windows warehouse with office, conference room, break area, showroom, and restrooms. Includes MEP's",,0.0,,,,,PP: FEMA: Renovation: Interior: Weather Tite Windows,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=26CAP&capID2=00000&capID3=00X6G&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Tampa,BLD-25-0518067,2025-08-14,2026-07-10,,Revision,1528 W  North B St,Tampa,FL,33606,,Commercial Building Alterations (Renovations),Assembly,"EXTERIOR - REPAINT, NEW STOREFRONT DOOR AND WINDOW, ADDITION OF ADA ACCESS, REMOVAL OF CONCRETE RAMP. INTERIOR RENOVATION - ADD / REMOVE WALLS AND DOORS AS NOTED ON THE PLANS, UPDATE BUILDING SYSTEMS, UPDATE FINISHES THROUGHOUT",,0.0,,,,,Interior/Exterior Alteration - Unit B - Studiofit Training,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=028EP&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
